Round elastomeric bearings;;;;;;;;
D (mm);THICKNESS in mm ;;;;;;Number of layers n ;
;Unloaded bearing ;;Elastomer (total (*a)) ;;Elastomer layers ;Reinforcing plates ;min. ;max. 
;min. ;max. ;min. ;max. ;;;;
φ 200 ;30;52;16;32;8;3;2;4
φ 250 ;30;52;16;32;8;3;2;4
φ 300 ;41;74;24;48;8;3;3;6
φ 350 ;41;85;24;56;8;3;3;7
φ 400 ;57;105;36;72;12;4;3;6
φ 450 ;57;105;36;72;12;4;3;6
φ 500 ;57;121;36;84;12;4;3;7
φ 550 ;73;137;48;96;12;4;4;8
φ 600 ;73;153;48;108;12;4;4;9
φ 650 ;73;169;48;120;12;4;4;10
φ 700 ;94;199;64;144;16;5;4;9
φ 750 ;94;199;64;144;16;5;4;9
φ 800 ;94;220;64;160;16;5;4;10
φ 850 ;94;220;64;160;16;5;4;10
φ 900 ;110;285;80;220;20;5;4;10
